Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,1.111367407885623,0.08668515950069348,0.13114754098360656,43.22521686553955,4.2999811389799545,725.8438446521759
2,1.3416299893178234,0.10141034251175285,0.14629512349588347,60.987820625305176,4.2999811389799545,725.8438446521759
3,1.5265320251124361,0.11503267973856209,0.1461159062885327,92.17671489715576,4.2999811389799545,725.8438446521759
4,1.72673435040649,0.121529919802591,0.14448886350656767,170.1424572467804,4.2999811389799545,725.8438446521759
5,1.9963385890495444,0.13681592039800994,0.16815642458100558,261.91141843795776,4.2999811389799545,725.8438446521759
6,2.2546491181393185,0.12642430819316333,0.17703349282296652,599.1198105812073,4.2999811389799545,725.8438446521759
7,2.440803523224252,0.12962962962962962,0.1776044056906838,720.8201742172241,4.2999811389799545,725.8438446521759
8,2.289223536942015,0.10653536257833482,0.15406050955414013,1033.734992980957,4.2999811389799545,725.8438446521759
9,2.5776684508673284,0.12706887346502937,0.16370558375634517,854.4410178661346,4.2999811389799545,725.8438446521759
10,2.757103621957833,0.14057885410513882,0.16929133858267717,760.0360226631165,4.2999811389799545,725.8438446521759
